,L1_ITO,L2_ZnO,L3_CuGeSeSnS,L4_Au,Transmission,Reflection
768.0,0.031051569522520688,0.000983926775359742,0.8909433634326308,0.02674196376333198,0.003396451834043912,0.04688272467211296
770.0,0.030589335977732873,0.0009392849996805039,0.8826327927753111,0.026306289096016382,0.0032927833879743823,0.05623951376328469
772.0,0.030052059261289826,0.0008897945751319889,0.8736828301937702,0.025830803187139217,0.003184269603712306,0.0663602431789564
774.0,0.02950208968405376,0.0008362051179226953,0.8641746575533651,0.025326955690580872,0.003071960043895622,0.07708813191018196
776.0,0.02892403173557932,0.0007789190303421337,0.854355076578049,0.024782362951021056,0.002957129226917224,0.08820248047809125
778.0,0.028334387529627605,0.0007186227656880177,0.8443383222303854,0.024217874368636594,0.002841641665825234,0.09954915143983722
780.0,0.027741545027939053,0.0006559823057666472,0.8341759267710959,0.023647030725276356,0.002726235219370335,0.11105327995055168
782.0,0.027177633440047304,0.0005914092460269998,0.8241449309836346,0.023067828748760916,0.002613202879279422,0.12240499470225079
784.0,0.026608426401192233,0.0005256406394040218,0.8142302317885143,0.02249262229068631,0.002501983773036065,0.1336410951071671
786.0,0.02607717667169725,0.0004590730340719578,0.8044483650567997,0.021922732700985787,0.0023932311773909587,0.14469942135905436
788.0,0.02558122518746683,0.0003921467218944071,0.7950739622674885,0.021370827189350156,0.002289604165025605,0.15529223446877455
790.0,0.025114981234221945,0.00032526003319225365,0.7859636024230434,0.02083371004036779,0.002189225830181385,0.1655732204389932
792.0,0.02468314115256349,0.0002586892058531037,0.7772118372041835,0.020313262380591654,0.002092970994812121,0.17544009906199617
794.0,0.02430835194358654,0.000192708461847111,0.7688377687348675,0.019818342360964424,0.002001626567152137,0.1848412019315822
796.0,0.023954167473533863,0.00012750836197499246,0.7608300182128984,0.019344917263327936,0.0019141742863697242,0.19382921440189496
798.0,0.023658320108325633,6.323997347262615e-05,0.7531915217761184,0.018900967370313444,0.001831569258794019,0.2023543815129759
800.0,0.023400020372594883,0.0,0.7458922425803369,0.018481089840698548,0.0017527229101665653,0.21047392429620307
802.0,0.023179350176934115,0.0,0.7389128990697815,0.01810106871172065,0.0016783448252496724,0.21812833721631406
804.0,0.023014463494581607,0.0,0.7322009575511711,0.01775457054487829,0.0016079447206661934,0.22542206368870285
806.0,0.02286951383953496,0.0,0.725817547616892,0.017426234852874672,0.0015406653146279037,0.2323460383760705
808.0,0.022774736255289037,0.0,0.7196648123022734,0.017124242162192035,0.0014764946053082428,0.23895971467493732
810.0,0.022716661548330356,0.0,0.7137619978209991,0.0168445983105752,0.0014150883048251184,0.24526165401527017
